regime,base_spread,inventory_skew,uncertainty_sensitivity,strategy,num_steps,num_trials,risk_penalty,price_process,random_walk_step_size,brownian_drift,brownian_volatility,dt,observation_noise_std,volatility_window,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
calm_clean,0.05,0.001,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.40568387072859,1.5547245396833527,3.5596038707285897,159.63,3.95,9.18,3.42304,0.007967312279880205,0.13551104080055854,0.017102208160111706
calm_clean,0.1,0.001,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.893373325558812,1.4254786675090434,3.535933325558812,225.12,3.66,10.41,3.67872,0.007952030388314775,0.09999999999999859,0.01712592155396798
calm_clean,0.15,0.002,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.104072332798081,1.3577220435627113,3.363352332798081,81.73,2.55,6.62,2.37036,0.00801578778525737,0.2014487917726758,0.01714959725755859
calm_clean,0.15,0.004,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.923924585726682,1.1539231441241955,3.300964585726681,60.19,1.71,4.99,1.81148,0.007964277446316852,0.23546656334225674,0.017093312668451342
calm_clean,0.1,0.001,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.508010234144399,1.8902867227957378,3.246070234144398,161.85,3.51,9.57,3.6309699999999996,0.007957261977958626,0.1340805047644882,0.017040252382244103
calm_clean,0.05,0.001,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.481160285938303,1.5790817303043685,3.2267802859383026,266.66,3.84,11.12,3.62719,0.00798816863274661,0.08421488132787741,0.017107440663938708
calm_clean,0.2,0.004,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.842026613143591,1.2189405166114446,3.1929666131435903,60.05,2.15,5.11,1.82453,0.00796826857156379,0.23431028023022926,0.017155140115114615
calm_clean,0.05,0.002,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.100177050791354,0.9749904240449763,3.025497050791354,368.86,2.66,8.61,2.53734,0.007947639578905513,0.049999999999999295,0.017000872739110474
calm_clean,0.2,0.002,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,7.939887370687478,1.324307718740359,2.9462273706874784,82.23,2.95,6.66,2.49683,0.00799395155208942,0.19999999999999718,0.01713249943361969
calm_clean,0.05,0.001,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.697704476130106,1.520919010277811,2.892344476130106,315.05,4.23,10.37,3.4026799999999997,0.00795007334334869,0.06709786106189104,0.017097861061891047
