base_spread,inventory_skew,uncertainty_sensitivity,strategy,num_steps,num_trials,risk_penalty,price_process,random_walk_step_size,brownian_drift,brownian_volatility,dt,observation_noise_std,volatility_window,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
0.05,0.002,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.417549988947593,2.0261190462263006,0.8692699889475926,45.1,2.72,5.64,2.27414,0.023928637023215037,0.281447485943062,0.04628949718861241
0.1,0.001,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.356391189280346,3.2002912513859263,0.8270811892803455,255.615,4.225,10.735,3.7646550000000003,0.02392983277461254,0.09999999999999859,0.046335035165769846
0.2,0.001,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.492491388609418,2.6720733056602333,0.5867913886094178,61.66,3.91,7.185,2.95285,0.02394924475028702,0.2462223705871427,0.046222370587142673
0.2,0.004,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,3.6085717003317437,1.4726422560911239,0.4254717003317441,24.475,1.865,3.955,1.59155,0.023953919563358402,0.3390602482138765,0.04635341607129215
0.2,0.002,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,4.871209608705582,1.9336268457886017,0.4253996087055823,38.905,2.615,5.43,2.222905,0.023967261688546584,0.2929545667447691,0.04647728337238454
0.15,0.002,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.079238439584656,1.8700683523221842,0.4050784395846556,41.175,2.815,5.72,2.33708,0.023909560138372227,0.2888061158911135,0.046268705297037825
0.1,0.004,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,3.7811663552984545,1.7099467179011216,0.27245635529845436,28.07,1.92,4.195,1.7543549999999999,0.023992366422313286,0.3319976753262197,0.046399535065243934
0.1,0.001,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.526204838935601,2.612548283174626,0.24521483893560064,67.07,3.72,7.55,3.140495,0.023985640561829117,0.23927938936823304,0.04642646312274435
0.15,0.001,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.422061789380132,2.8751754147616633,0.1500717893801322,64.055,3.935,7.58,3.135995,0.023956823793583895,0.24284918680372963,0.04642459340186482
0.05,0.004,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,4.436523187810275,1.834241626244392,0.047543187810274556,377.87,2.13,7.45,2.19449,0.02390558351003022,0.049999999999999295,0.046351723226785
